,class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,Unnamed: 29,active_region,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,STARTIME,ENDTIME,Centroid_LAT,Centroid_LON,ca,mg,fe,ti,al,o,si
837242,20210427T165329037_20210427T165337037,20210427,60535.0,25.57,60925.0,46.1,61705.0,4.67,3,True,False,B2,A4,177.59,46.96,296.3,60858.59,355.28,70.56,6.629,0.976,179.11,60535.0,29.61,60895.0,51.68,63895.0,-1.16,True,,,-64.5603,-65.6719,-66.1736,-65.0439,-134.914,-136.147,-134.408,-133.223,2021-04-27T16:53:29.037,2021-04-27T16:53:37.037,-65.36242499999999,-134.673,12.141732283464568,6.8054298642533935,5.789473684210527,0.8773584905660377,14.352941176470589,44.74476987447699,15.2882946265579
139488,20240426T054308579_20240426T054316579,20240426,16875.0,38.56,17145.0,361.21,20695.0,54.99,2,True,True,C1,B3,1457.05,2902.22,224.5,17020.76,107.89,1748.09,713.447,0.852,357.91,16665.0,-2.15,17145.0,403.38,20695.0,32.06,True,,False,-81.5212,-82.4895,-83.0421,-82.0302,16.6531,12.1294,16.6253,20.9021,2024-04-26T05:43:08.579,2024-04-26T05:43:16.579,-82.27074999999999,16.577475,12.83464566929134,7.239819004524887,3.289473684210526,0.7641509433962264,13.568627450980394,44.86192468619247,17.441358561404158
873038,20211113T064736548_20211113T064744548,20211113,22975.0,0.0,24895.0,17.99,25685.0,1.82,4,False,True,B1,A1,129.98,18.18,154.16,24841.56,364.5,53.88,18.601,0.691,113.67,22975.0,-1.65,25025.0,22.98,26575.0,-7.99,True,,,-60.2129,-61.57,-61.5455,-60.1895,-63.8579,-63.8304,-61.8253,-61.9348,2021-11-13T06:47:36.548,2021-11-13T06:47:44.548,-60.879475,-62.8621,10.188976377952756,5.212669683257919,5.789473684210527,0.9339622641509432,16.549019607843135,45.59414225941423,15.7317561231705
873554,20211113T191835345_20211113T191843345,20211113,67976.0,80.57,69976.0,84.1,72896.0,76.74,10,True,False,B1,A8,43.65,85.44,585.08,68780.4,6718.61,1229.65,4.911,0.436,3104.08,67976.0,79.67,69376.0,102.49,72896.0,76.34,True,,,13.4714,12.2734,12.262,13.46,108.813,108.798,109.605,109.624,2021-11-13T19:18:35.345,2021-11-13T19:18:43.345,12.8667,109.21,11.700787401574804,6.081447963800905,5.789473684210527,1.1320754716981134,11.372549019607842,45.85774058577406,18.065925873333757
731272,20220203T015036639_20220203T015044639,20220203,6535.0,11.82,7445.0,118.47,8415.0,11.77,3,True,True,B7,B1,676.24,126.76,383.75,7296.94,407.27,168.6,541.734,0.763,328.11,5695.0,50.17,7465.0,184.99,8815.0,-25.25,True,,,-54.9274,-55.9174,-55.4416,-54.4611,115.967,116.774,117.785,116.965,2022-02-03T01:50:36.639,2022-02-03T01:50:44.639,-55.186875,116.87275,11.826771653543307,4.561085972850679,4.605263157894736,1.1320754716981134,13.96078431372549,45.56485355648535,18.34916587380232
125981,20240415T033427785_20240415T033435785,20240415,12245.0,159.05,12785.0,1512.7,22345.0,118.33,6,True,True,C3,C1,2236.46,16205.97,840.73,12445.97,154.34,3728.72,210136.015,0.45,5194.81,9655.0,-876.2,12795.0,2085.46,23815.0,-693.58,True,,False,-80.2272,-81.3366,-81.5429,-80.4215,-3.6778,-4.8756,-0.1211,0.5473,2024-04-15T03:34:27.785,2024-04-15T03:34:35.785,-80.88205,-2.0318,13.21259842519685,5.212669683257919,2.763157894736842,0.7075471698113207,14.352941176470589,45.18410041841004,18.56698523211644
897820,20211128T212114737_20211128T212122737,20211128,75826.0,2.89,76566.0,29.44,77316.0,2.98,4,True,True,B2,A2,228.67,30.3,149.82,76485.96,336.8,85.38,56.365,0.574,112.55,72896.0,-13.02,76576.0,42.09,78296.0,-13.98,True,,,-37.8154,-39.072,-39.0904,-37.8335,-91.505,-91.5481,-90.4521,-90.4288,2021-11-28T21:21:14.737,2021-11-28T21:21:22.737,-38.452825,-90.9835,14.724409448818898,2.8959276018099547,3.684210526315789,1.018867924528302,13.647058823529411,44.8326359832636,19.196889691734043
1370662,20220513T051303211_20220513T051311211,20220513,17925.0,131.95,18285.0,1392.48,19495.0,139.95,2,True,True,C2,C1,1194.61,3437.76,1103.08,18115.1,126.6,494.5,1723.078,0.99,1778.83,16735.0,3.74,18255.0,1353.27,20455.0,2.82,True,,,67.9586,66.7122,66.7369,67.9847,67.8974,68.0502,70.1798,70.1397,2022-05-13T05:13:03.211,2022-05-13T05:13:11.211,67.34809999999999,69.066775,12.26771653543307,6.153846153846154,6.052631578947368,0.7358490566037736,13.725490196078432,44.97907949790795,16.085386981183262
197048,20240225T081705459_20240225T081713459,20240225,29745.0,18.62,30495.0,194.82,31275.0,19.54,1,False,True,C1,B1,1201.55,197.17,1561.89,30442.17,357.29,56.53,1632.861,0.744,369.81,29695.0,82.09,30585.0,243.6,32205.0,-76.74,True,,True,-63.6105,-64.6552,-64.3846,-63.3473,-74.2019,-73.6118,-72.1564,-72.795,2024-02-25T08:17:05.459,2024-02-25T08:17:13.459,-63.9994,-73.191275,11.763779527559056,7.601809954751131,4.078947368421053,0.3113207547169812,15.137254901960784,45.47698744769875,15.629900044892253
87625,20230806T100142094_20230806T100150094,20230806,34855.0,0.0,37295.0,84.18,37705.0,8.43,1,False,True,B9,A8,890.88,85.94,510.18,37257.63,185.92,39.25,1720.056,0.301,-31.68,34855.0,-52.83,37305.0,100.5,37975.0,-61.12,True,,False,19.2113,17.8724,17.5925,18.9238,-100.863,-101.16,-100.177,-99.8752,2023-08-06T10:01:42.094,2023-08-06T10:01:50.094,18.4,-100.5188,12.26771653543307,5.357466063348416,3.421052631578948,0.4528301886792453,16.15686274509804,45.47698744769875,16.867084388163534
1256979,20220826T222108729_20220826T222116729,20220826,78975.0,93.58,79485.0,971.16,80805.0,685.4,2,True,True,B9,B9,0.0,10881.09,537.41,79168.09,143.13,3632.13,1492.583,0.99,5005.91,78295.0,71.62,79415.0,1052.21,80805.0,665.05,True,,True,-19.0725,-20.3138,-20.1508,-18.9129,117.26,117.431,118.319,118.142,2022-08-26T22:21:08.729,2022-08-26T22:21:16.729,-19.612500000000004,117.788,11.32283464566929,7.746606334841629,5.526315789473684,0.7075471698113207,13.411764705882351,45.44769874476987,15.837232609551847
478528,20210918T080153830_20210918T080201830,20210918,26335.0,0.0,30335.0,2361.13,30665.0,223.02,1,False,True,C2,C2,402.1,2386.32,20215.38,30315.59,148.98,22.04,318874.068,0.449,762.91,26335.0,-313.19,30465.0,2342.12,31375.0,-388.55,True,,,57.4137,56.1304,56.0389,57.3196,132.984,132.838,134.41,134.612,2021-09-18T08:01:53.830,2021-09-18T08:02:01.830,56.72565,133.71099999999998,14.031496062992126,4.923076923076923,2.763157894736842,0.339622641509434,13.490196078431374,45.33054393305439,19.121906466198908
365761,20201119T022710425_20201119T022718425,20201119,5095.0,3.39,8595.0,26.24,10135.0,17.76,10,False,False,A7,A2,49.63,26.63,189.46,8305.1,1712.14,301.57,6.996,0.889,819.25,5095.0,1.66,8905.0,37.99,10135.0,20.87,True,,,-84.468,-85.6289,-85.5843,-84.4326,-10.3638,-10.6686,-0.8934,-2.6093,2020-11-19T02:27:10.425,2020-11-19T02:27:18.425,-85.02844999999999,-6.133775,12.456692913385826,5.357466063348416,3.026315789473684,0.5660377358490567,16.235294117647058,45.1255230125523,17.23267036774365
958549,20221104T075732799_20221104T075740799,20221104,26205.0,504.67,27815.0,4994.01,30575.0,501.76,2,False,True,C5,C4,893.53,7396.31,6110.0,27245.0,643.67,976.56,15527.927,0.994,16204.86,25135.0,9.93,27845.0,4934.27,34615.0,-135.12,True,,,-30.344,-31.5152,-31.8661,-30.6888,-76.5415,-76.949,-76.0492,-75.6491,2022-11-04T07:57:32.799,2022-11-04T07:57:40.799,-31.103525,-76.2972,9.37007874015748,1.8099547511312215,2.1052631578947367,0.9622641509433962,18.50980392156863,46.58995815899581,20.65267711930872
